group,subject,value,measure,timepoint
A,S001,10.00,3.141,1
A,S002,10.50,3.141,2
A,S003,11.00,3.141,3
A,S004,11.50,3.141,4
A,S005,12.00,3.141,5
A,S006,12.50,3.141,6
A,S007,13.00,3.141,7
A,S008,13.50,3.141,8
A,S009,14.00,3.141,9
A,S010,14.50,3.141,10
B,S011,15.00,2.222,1
B,S012,15.50,2.222,2
B,S013,16.00,2.222,3
B,S014,16.50,2.222,4
B,S015,17.00,2.222,5
B,S016,17.50,2.222,6
B,S017,18.00,2.222,7
B,S018,18.50,2.222,8
B,S019,19.00,2.222,9
B,S020,19.50,2.222,10
B,S020,19.50,2.222,10
B,S020,19.50,2.222,10
